Phi[deg],Theta[deg],im(rEX)[mV]
110,14,124.703
112,14,136.767
114,14,148.711
116,14,160.524
118,14,172.192
120,14,183.701
122,14,195.038
124,14,206.187
126,14,217.135
128,14,227.866
130,14,238.365
132,14,248.617
134,14,258.606
136,14,268.317
138,14,277.733
140,14,286.839
142,14,295.619
144,14,304.058
146,14,312.141
148,14,319.853
150,14,327.179
152,14,334.105
154,14,340.618
156,14,346.704
158,14,352.352
160,14,357.55
162,14,362.287
164,14,366.554
166,14,370.34
168,14,373.639
170,14,376.444
172,14,378.747
174,14,380.544
176,14,381.832
178,14,382.607
180,14,382.867
-180,16,426.002
-178,16,425.711
-176,16,424.831
-174,16,423.365
