Phi[deg],Theta[deg],im(rEY)[mV]
-58,12,481.332
-56,12,470.753
-54,12,459.598
-52,12,447.877
-50,12,435.603
-48,12,422.79
-46,12,409.452
-44,12,395.603
-42,12,381.26
-40,12,366.438
-38,12,351.156
-36,12,335.43
-34,12,319.28
-32,12,302.725
-30,12,285.785
-28,12,268.48
-26,12,250.832
-24,12,232.863
-22,12,214.595
-20,12,196.051
-18,12,177.255
-16,12,158.23
-14,12,139.002
-12,12,119.594
-10,12,100.031
-8,12,80.3401
-6,12,60.5453
-4,12,40.6728
-2,12,20.7485
0,12,0.798224
2,12,-19.1519
4,12,-39.0758
6,12,-58.9476
8,12,-78.7414
10,12,-98.4315
12,12,-117.992
14,12,-137.398
16,12,-156.625
18,12,-175.647
20,12,-194.441
22,12,-212.982
24,12,-231.247
26,12,-249.213
28,12,-266.858
30,12,-284.159
32,12,-301.096
34,12,-317.648
36,12,-333.794
38,12,-349.516
40,12,-364.794
42,12,-379.612
44,12,-393.951
46,12,-407.795
48,12,-421.129
50,12,-433.938
52,12,-446.208
54,12,-457.925
56,12,-469.077
58,12,-479.652
60,12,-489.638
62,12,-499.027
64,12,-507.808
66,12,-515.972
68,12,-523.512
70,12,-530.42
72,12,-536.689
74,12,-542.314
76,12,-547.289
78,12,-551.609
80,12,-555.272
82,12,-558.272
84,12,-560.609
86,12,-562.278
88,12,-563.28
90,12,-563.613
92,12,-563.277
94,12,-562.271
96,12,-560.598
98,12,-558.259
100,12,-555.255
102,12,-551.589
104,12,-547.266
106,12,-542.288
108,12,-536.66
110,12,-530.388
112,12,-523.477
114,12,-515.935
116,12,-507.769
118,12,-498.986
120,12,-489.595
122,12,-479.607
124,12,-469.03
126,12,-457.877
128,12,-446.159
130,12,-433.889
132,12,-421.079
134,12,-407.745
136,12,-393.9
138,12,-379.561
140,12,-364.744
142,12,-349.466
144,12,-333.745
146,12,-317.6
148,12,-301.05
150,12,-284.114
152,12,-266.815
154,12,-249.172
156,12,-231.208
158,12,-212.945
160,12,-194.406
162,12,-175.615
164,12,-156.596
166,12,-137.372
168,12,-117.969
170,12,-98.411
172,12,-78.7241
174,12,-58.9334
176,12,-39.0649
178,12,-19.1442
180,12,0.80259
-180,14,0.809573
-178,14,23.6789
-176,14,46.518
-174,14,69.2963
-172,14,91.9836
-170,14,114.55
-168,14,136.965
-166,14,159.199
-164,14,181.223
-162,14,203.009
-160,14,224.528
-158,14,245.752
-156,14,266.653
-154,14,287.206
-152,14,307.384
-150,14,327.162
-148,14,346.515
-146,14,365.421
-144,14,383.855
-142,14,401.796
-140,14,419.223
-138,14,436.116
-136,14,452.455
-134,14,468.222
-132,14,483.4
-130,14,497.972
-128,14,511.924
-126,14,525.239
-124,14,537.906
-122,14,549.911
-120,14,561.242
-118,14,571.889
-116,14,581.843
-114,14,591.093
-112,14,599.632
-110,14,607.452
-108,14,614.546
-106,14,620.91
-104,14,626.537
-102,14,631.422
-100,14,635.563
-98,14,638.956
-96,14,641.598
-94,14,643.487
-92,14,644.622
-90,14,645.001
-88,14,644.626
-86,14,643.495
-84,14,641.61
-82,14,638.972
-80,14,635.584
-78,14,631.447
-76,14,626.565
-74,14,620.942
-72,14,614.582
-70,14,607.49
-68,14,599.673
-66,14,591.138
-64,14,581.89
-62,14,571.939
